disabledNode	disabledLink	pCongFixed	Result
3	24	0	32.5833333333
3	24	0.3	43.3095238095
3	24	0.6	48.6666666667
3	24	0.9	66.1666666667
3	25	0	35.0833333333
3	25	0.3	47.9642857143
3	25	0.6	74.75
3	25	0.9	162.25
4	1	0	Infinity
4	1	0.3	Infinity
4	1	0.6	Infinity
4	1	0.9	Infinity
4	2	0	32.5833333333
4	2	0.3	45.4523809524
4	2	0.6	74.9166666667
4	2	0.9	150.166666667
4	3	0	32.5833333333
4	3	0.3	45.4523809524
4	3	0.6	74.9166666667
4	3	0.9	150.166666667
4	4	0	35.0833333333
4	4	0.3	50.0833333333
4	4	0.6	87.5833333333
4	4	0.9	210.083333333
4	5	0	32.5833333333
4	5	0.3	45.4523809524
4	5	0.6	74.9166666667
4	5	0.9	150.166666667
4	6	0	32.5833333333
4	6	0.3	45.4523809524
4	6	0.6	74.9166666667
4	6	0.9	150.166666667
4	7	0	32.5833333333
4	7	0.3	45.4523809524
4	7	0.6	74.9166666667
4	7	0.9	150.166666667
4	8	0	32.5833333333
4	8	0.3	45.4523809524
4	8	0.6	74.9166666667
4	8	0.9	150.166666667
4	9	0	32.5833333333
4	9	0.3	45.4523809524
4	9	0.6	74.9166666667
4	9	0.9	150.166666667
4	10	0	35.0833333333
4	10	0.3	50.0833333333
4	10	0.6	87.5833333333
4	10	0.9	210.083333333
4	11	0	32.5833333333
4	11	0.3	45.4523809524
4	11	0.6	74.9166666667
4	11	0.9	150.166666667
4	12	0	32.5833333333
4	12	0.3	45.4523809524
4	12	0.6	74.9166666667
4	12	0.9	171.166666667
4	13	0	32.5833333333
4	13	0.3	45.4523809524
4	13	0.6	74.9166666667
4	13	0.9	150.166666667
4	14	0	32.5833333333
4	14	0.3	45.4523809524
4	14	0.6	74.9166666667
4	14	0.9	171.166666667
4	15	0	32.5833333333
4	15	0.3	45.4523809524
4	15	0.6	74.9166666667
4	15	0.9	150.166666667
4	16	0	35.0833333333
4	16	0.3	49.0238095238
4	16	0.6	80.1666666667
4	16	0.9	150.166666667
4	17	0	32.5833333333
4	17	0.3	45.4523809524
4	17	0.6	74.9166666667
4	17	0.9	150.166666667
4	18	0	32.5833333333
4	18	0.3	45.4523809524
4	18	0.6	74.9166666667
4	18	0.9	150.166666667
4	19	0	32.5833333333
4	19	0.3	45.4523809524
4	19	0.6	74.9166666667
4	19	0.9	150.166666667
4	20	0	32.5833333333
4	20	0.3	45.4523809524
4	20	0.6	74.9166666667
4	20	0.9	171.166666667
4	21	0	32.5833333333
4	21	0.3	45.4523809524
4	21	0.6	74.9166666667
4	21	0.9	150.166666667
4	22	0	35.0833333333
4	22	0.3	49.0238095238
4	22	0.6	80.1666666667
4	22	0.9	150.166666667
4	23	0	32.5833333333
4	23	0.3	45.4523809524
4	23	0.6	74.9166666667
4	23	0.9	150.166666667
4	24	0	32.5833333333
4	24	0.3	45.4523809524
4	24	0.6	74.9166666667
4	24	0.9	150.166666667
4	25	0	35.0833333333
4	25	0.3	50.0833333333
4	25	0.6	87.5833333333
4	25	0.9	210.083333333
5	1	0	32.5833333333
5	1	0.3	43.3095238095
5	1	0.6	48.6666666667
5	1	0.9	66.1666666667
5	2	0	32.5833333333
5	2	0.3	43.3095238095
5	2	0.6	48.6666666667
5	2	0.9	66.1666666667
5	3	0	35.0833333333
5	3	0.3	50.0833333333
5	3	0.6	87.5833333333
5	3	0.9	198.166666667
5	4	0	32.5833333333
5	4	0.3	43.3095238095
5	4	0.6	48.6666666667
5	4	0.9	66.1666666667
5	5	0	32.5833333333
5	5	0.3	43.3095238095
5	5	0.6	48.6666666667
5	5	0.9	66.1666666667
5	6	0	32.5833333333
5	6	0.3	43.3095238095
5	6	0.6	48.6666666667
5	6	0.9	66.1666666667
5	7	0	32.5833333333
5	7	0.3	43.3095238095
5	7	0.6	48.6666666667
5	7	0.9	66.1666666667
5	8	0	32.5833333333
5	8	0.3	43.3095238095
5	8	0.6	48.6666666667
5	8	0.9	66.1666666667
5	9	0	35.0833333333
5	9	0.3	47.9642857143
5	9	0.6	74.75
5	9	0.9	162.25
5	10	0	32.5833333333
5	10	0.3	43.3095238095
5	10	0.6	48.6666666667
5	10	0.9	66.1666666667
5	11	0	32.5833333333
5	11	0.3	43.3095238095
5	11	0.6	48.6666666667
5	11	0.9	66.1666666667
5	12	0	35.0833333333
5	12	0.3	43.3095238095
5	12	0.6	48.6666666667
5	12	0.9	66.1666666667
5	13	0	32.5833333333
5	13	0.3	43.3095238095
5	13	0.6	48.6666666667
5	13	0.9	66.1666666667
5	14	0	32.5833333333
5	14	0.3	44.4761904762
5	14	0.6	68.5833333333
5	14	0.9	147.333333333
5	15	0	32.5833333333
5	15	0.3	43.3095238095
5	15	0.6	48.6666666667
5	15	0.9	66.1666666667
5	16	0	35.0833333333
5	16	0.3	43.3095238095
5	16	0.6	48.6666666667
5	16	0.9	66.1666666667
5	17	0	32.5833333333
5	17	0.3	43.3095238095
5	17	0.6	48.6666666667
5	17	0.9	66.1666666667
5	18	0	32.5833333333
5	18	0.3	43.3095238095
5	18	0.6	48.6666666667
5	18	0.9	66.1666666667
5	19	0	32.5833333333
5	19	0.3	43.3095238095
5	19	0.6	48.6666666667
5	19	0.9	66.1666666667
5	20	0	32.5833333333
5	20	0.3	44.4761904762
5	20	0.6	68.3333333333
5	20	0.9	138.333333333
5	21	0	32.5833333333
5	21	0.3	43.3095238095
5	21	0.6	48.6666666667
5	21	0.9	66.1666666667
5	22	0	35.0833333333
5	22	0.3	43.3095238095
5	22	0.6	48.6666666667
5	22	0.9	66.1666666667
5	23	0	32.5833333333
5	23	0.3	43.3095238095
5	23	0.6	48.6666666667
5	23	0.9	66.1666666667
5	24	0	32.5833333333
5	24	0.3	43.3095238095
5	24	0.6	48.6666666667
5	24	0.9	66.1666666667
5	25	0	35.0833333333
5	25	0.3	47.9642857143
5	25	0.6	74.75
5	25	0.9	162.25
6	1	0	32.5833333333
6	1	0.3	43.3095238095
6	1	0.6	48.6666666667
6	1	0.9	66.1666666667
6	2	0	32.5833333333
6	2	0.3	43.3095238095
6	2	0.6	48.6666666667
6	2	0.9	66.1666666667
6	3	0	32.5833333333
6	3	0.3	45.4523809524
6	3	0.6	73.6666666667
6	3	0.9	126.166666667
6	4	0	32.5833333333
6	4	0.3	43.3095238095
6	4	0.6	48.6666666667
6	4	0.9	66.1666666667
6	5	0	32.5833333333
6	5	0.3	43.3095238095
6	5	0.6	48.6666666667
6	5	0.9	66.1666666667
6	6	0	32.5833333333
6	6	0.3	43.3095238095
6	6	0.6	48.6666666667
6	6	0.9	66.1666666667
6	7	0	32.5833333333
6	7	0.3	43.3095238095
6	7	0.6	48.6666666667
6	7	0.9	66.1666666667
6	8	0	32.5833333333
6	8	0.3	43.3095238095
6	8	0.6	48.6666666667
6	8	0.9	66.1666666667
6	9	0	32.5833333333
6	9	0.3	45.4523809524
6	9	0.6	74.9166666667
6	9	0.9	150.166666667
6	10	0	32.5833333333
6	10	0.3	43.3095238095
6	10	0.6	48.6666666667
6	10	0.9	66.1666666667
6	11	0	32.5833333333
6	11	0.3	43.3095238095
6	11	0.6	48.6666666667
6	11	0.9	66.1666666667
6	12	0	32.5833333333
6	12	0.3	43.3095238095
6	12	0.6	48.6666666667
6	12	0.9	66.1666666667
6	13	0	32.5833333333
6	13	0.3	43.3095238095
6	13	0.6	48.6666666667
6	13	0.9	66.1666666667
6	14	0	32.5833333333
6	14	0.3	44.4761904762
6	14	0.6	68.5833333333
6	14	0.9	147.333333333
6	15	0	32.5833333333
6	15	0.3	43.3095238095
6	15	0.6	48.6666666667
6	15	0.9	66.1666666667
6	16	0	35.0833333333
6	16	0.3	43.3095238095
6	16	0.6	48.6666666667
6	16	0.9	66.1666666667
6	17	0	32.5833333333
6	17	0.3	43.3095238095
6	17	0.6	48.6666666667
6	17	0.9	66.1666666667
6	18	0	32.5833333333
6	18	0.3	43.3095238095
6	18	0.6	48.6666666667
6	18	0.9	66.1666666667
6	19	0	32.5833333333
6	19	0.3	43.3095238095
6	19	0.6	48.6666666667
6	19	0.9	66.1666666667
6	20	0	32.5833333333
6	20	0.3	44.4761904762
6	20	0.6	68.3333333333
6	20	0.9	138.333333333
6	21	0	32.5833333333
6	21	0.3	43.3095238095
6	21	0.6	48.6666666667
6	21	0.9	66.1666666667
6	22	0	35.0833333333
6	22	0.3	43.3095238095
6	22	0.6	48.6666666667
6	22	0.9	66.1666666667
6	23	0	32.5833333333
6	23	0.3	43.3095238095
6	23	0.6	48.6666666667
6	23	0.9	66.1666666667
6	24	0	32.5833333333
6	24	0.3	43.3095238095
