incidentNode	incidentType	lanes4Bus	pCongFixed	Result
1	3	1	0.7	71.4166666667
1	3	1	0.8	71.4166666667
1	3	1	0.9	71.4166666667
1	3	1	1	71.4166666667
1	4	0	0	63.1666666667
1	4	0	0.1	66.8333333333
1	4	0	0.2	71.4166666667
1	4	0	0.3	77.3095238095
1	4	0	0.4	85.1666666667
1	4	0	0.5	96.1666666667
1	4	0	0.6	112.666666667
1	4	0	0.7	140.166666667
1	4	0	0.8	195.083333333
1	4	0	0.9	195.083333333
1	4	0	1	195.083333333
1	4	1	0	63.1666666667
1	4	1	0.1	66.8333333333
1	4	1	0.2	71.4166666667
1	4	1	0.3	71.4166666667
1	4	1	0.4	71.4166666667
1	4	1	0.5	71.4166666667
1	4	1	0.6	71.4166666667
1	4	1	0.7	71.4166666667
1	4	1	0.8	71.4166666667
1	4	1	0.9	71.4166666667
1	4	1	1	71.4166666667
1	5	0	0	63.1666666667
1	5	0	0.1	66.8333333333
1	5	0	0.2	71.4166666667
1	5	0	0.3	77.3095238095
1	5	0	0.4	85.1666666667
1	5	0	0.5	96.1666666667
1	5	0	0.6	112.666666667
1	5	0	0.7	140.166666667
1	5	0	0.8	195.083333333
1	5	0	0.9	195.083333333
1	5	0	1	195.083333333
1	5	1	0	63.1666666667
1	5	1	0.1	66.8333333333
1	5	1	0.2	71.4166666667
1	5	1	0.3	71.4166666667
1	5	1	0.4	71.4166666667
1	5	1	0.5	71.4166666667
1	5	1	0.6	71.4166666667
1	5	1	0.7	71.4166666667
1	5	1	0.8	71.4166666667
1	5	1	0.9	71.4166666667
1	5	1	1	71.4166666667
2	1	0	0	63.1666666667
2	1	0	0.1	66.8333333333
2	1	0	0.2	71.4166666667
2	1	0	0.3	77.3095238095
2	1	0	0.4	85.1666666667
2	1	0	0.5	96.1666666667
2	1	0	0.6	112.666666667
2	1	0	0.7	140.166666667
2	1	0	0.8	195.083333333
2	1	0	0.9	195.083333333
2	1	0	1	195.083333333
2	1	1	0	63.1666666667
2	1	1	0.1	66.8333333333
2	1	1	0.2	71.4166666667
2	1	1	0.3	71.4166666667
2	1	1	0.4	71.4166666667
2	1	1	0.5	71.4166666667
2	1	1	0.6	71.4166666667
2	1	1	0.7	71.4166666667
2	1	1	0.8	71.4166666667
2	1	1	0.9	71.4166666667
2	1	1	1	71.4166666667
2	2	0	0	63.1666666667
2	2	0	0.1	66.9848484848
2	2	0	0.2	71.8114035088
2	2	0	0.3	78.1130952381
2	2	0	0.4	86.7051282051
2	2	0	0.5	99.1666666667
2	2	0	0.6	119.095238095
2	2	0	0.7	150.166666667
2	2	0	0.8	195.083333333
2	2	0	0.9	195.083333333
2	2	0	1	195.083333333
2	2	1	0	63.1666666667
2	2	1	0.1	66.9848484848
2	2	1	0.2	71.4166666667
2	2	1	0.3	71.4166666667
2	2	1	0.4	71.4166666667
2	2	1	0.5	71.4166666667
2	2	1	0.6	71.4166666667
2	2	1	0.7	71.4166666667
2	2	1	0.8	71.4166666667
2	2	1	0.9	71.4166666667
2	2	1	1	71.4166666667
2	3	0	0	63.1666666667
2	3	0	0.1	67.2254901961
2	3	0	0.2	72.4880952381
2	3	0	0.3	79.6471861472
2	3	0	0.4	90.1666666667
2	3	0	0.5	108.166666667
2	3	0	0.6	127.666666667
2	3	0	0.7	150.166666667
2	3	0	0.8	195.083333333
2	3	0	0.9	195.083333333
2	3	0	1	195.083333333
2	3	1	0	63.1666666667
2	3	1	0.1	67.2254901961
2	3	1	0.2	71.4166666667
2	3	1	0.3	71.4166666667
2	3	1	0.4	71.4166666667
2	3	1	0.5	71.4166666667
2	3	1	0.6	71.4166666667
2	3	1	0.7	71.4166666667
2	3	1	0.8	71.4166666667
2	3	1	0.9	71.4166666667
2	3	1	1	71.4166666667
2	4	0	0	63.1666666667
2	4	0	0.1	67.4837398374
2	4	0	0.2	73.2916666667
2	4	0	0.3	81.781573499
2	4	0	0.4	96.5952380952
2	4	0	0.5	114.166666667
2	4	0	0.6	127.666666667
2	4	0	0.7	150.166666667
2	4	0	0.8	195.083333333
2	4	0	0.9	195.083333333
2	4	0	1	195.083333333
2	4	1	0	63.1666666667
2	4	1	0.1	67.4837398374
2	4	1	0.2	71.4166666667
2	4	1	0.3	71.4166666667
2	4	1	0.4	71.4166666667
2	4	1	0.5	71.4166666667
2	4	1	0.6	71.4166666667
2	4	1	0.7	71.4166666667
2	4	1	0.8	71.4166666667
2	4	1	0.9	71.4166666667
2	4	1	1	71.4166666667
2	5	0	0	63.1666666667
2	5	0	0.1	90.1666666667
2	5	0	0.2	93.9166666667
2	5	0	0.3	98.7380952381
2	5	0	0.4	105.166666667
2	5	0	0.5	114.166666667
2	5	0	0.6	127.666666667
2	5	0	0.7	150.166666667
2	5	0	0.8	195.083333333
2	5	0	0.9	195.083333333
2	5	0	1	195.083333333
2	5	1	0	63.1666666667
2	5	1	0.1	67.75
2	5	1	0.2	71.4166666667
2	5	1	0.3	71.4166666667
2	5	1	0.4	71.4166666667
2	5	1	0.5	71.4166666667
2	5	1	0.6	71.4166666667
2	5	1	0.7	71.4166666667
2	5	1	0.8	71.4166666667
2	5	1	0.9	71.4166666667
2	5	1	1	71.4166666667
3	1	0	0	63.1666666667
3	1	0	0.1	66.8333333333
3	1	0	0.2	71.4166666667
3	1	0	0.3	77.3095238095
3	1	0	0.4	85.1666666667
3	1	0	0.5	96.1666666667
3	1	0	0.6	112.666666667
3	1	0	0.7	140.166666667
3	1	0	0.8	195.083333333
3	1	0	0.9	195.083333333
3	1	0	1	195.083333333
3	1	1	0	63.1666666667
3	1	1	0.1	66.8333333333
3	1	1	0.2	71.4166666667
3	1	1	0.3	71.4166666667
3	1	1	0.4	71.4166666667
3	1	1	0.5	71.4166666667
3	1	1	0.6	71.4166666667
3	1	1	0.7	71.4166666667
3	1	1	0.8	71.4166666667
3	1	1	0.9	71.4166666667
3	1	1	1	71.4166666667
3	2	0	0	63.1666666667
3	2	0	0.1	66.8333333333
3	2	0	0.2	71.4166666667
3	2	0	0.3	77.3095238095
3	2	0	0.4	85.1666666667
3	2	0	0.5	96.1666666667
3	2	0	0.6	112.666666667
3	2	0	0.7	140.166666667
3	2	0	0.8	195.083333333
3	2	0	0.9	195.083333333
3	2	0	1	195.083333333
3	2	1	0	63.1666666667
3	2	1	0.1	66.8333333333
3	2	1	0.2	71.4166666667
3	2	1	0.3	71.4166666667
3	2	1	0.4	71.4166666667
3	2	1	0.5	71.4166666667
3	2	1	0.6	71.4166666667
3	2	1	0.7	71.4166666667
3	2	1	0.8	71.4166666667
3	2	1	0.9	71.4166666667
3	2	1	1	71.4166666667
3	3	0	0	63.1666666667
3	3	0	0.1	66.8333333333
3	3	0	0.2	71.4166666667
3	3	0	0.3	77.3095238095
3	3	0	0.4	85.1666666667
3	3	0	0.5	96.1666666667
3	3	0	0.6	112.666666667
3	3	0	0.7	140.166666667
3	3	0	0.8	195.083333333
3	3	0	0.9	195.083333333
3	3	0	1	195.083333333
3	3	1	0	63.1666666667
3	3	1	0.1	66.8333333333
3	3	1	0.2	71.4166666667
3	3	1	0.3	71.4166666667
3	3	1	0.4	71.4166666667
3	3	1	0.5	71.4166666667
3	3	1	0.6	71.4166666667
3	3	1	0.7	71.4166666667
3	3	1	0.8	71.4166666667
3	3	1	0.9	71.4166666667
3	3	1	1	71.4166666667
3	4	0	0	63.1666666667
3	4	0	0.1	66.8333333333
3	4	0	0.2	71.4166666667
3	4	0	0.3	77.3095238095
3	4	0	0.4	85.1666666667
3	4	0	0.5	96.1666666667
3	4	0	0.6	112.666666667
3	4	0	0.7	140.166666667
3	4	0	0.8	195.083333333
3	4	0	0.9	195.083333333
3	4	0	1	195.083333333
3	4	1	0	63.1666666667
3	4	1	0.1	66.8333333333
3	4	1	0.2	71.4166666667
3	4	1	0.3	71.4166666667
3	4	1	0.4	71.4166666667
3	4	1	0.5	71.4166666667
3	4	1	0.6	71.4166666667
3	4	1	0.7	71.4166666667
3	4	1	0.8	71.4166666667
3	4	1	0.9	71.4166666667
3	4	1	1	71.4166666667
3	5	0	0	63.1666666667
3	5	0	0.1	66.8333333333
3	5	0	0.2	71.4166666667
3	5	0	0.3	77.3095238095
3	5	0	0.4	85.1666666667
3	5	0	0.5	96.1666666667
3	5	0	0.6	112.666666667
3	5	0	0.7	140.166666667
3	5	0	0.8	195.083333333
3	5	0	0.9	195.083333333
3	5	0	1	195.083333333
3	5	1	0	63.1666666667
3	5	1	0.1	66.8333333333
3	5	1	0.2	71.4166666667
3	5	1	0.3	71.4166666667
3	5	1	0.4	71.4166666667
3	5	1	0.5	71.4166666667
3	5	1	0.6	71.4166666667
3	5	1	0.7	71.4166666667
3	5	1	0.8	71.4166666667
3	5	1	0.9	71.4166666667
3	5	1	1	71.4166666667
4	1	0	0	63.1666666667
4	1	0	0.1	66.8333333333
4	1	0	0.2	71.4166666667
4	1	0	0.3	77.3095238095
4	1	0	0.4	85.1666666667
4	1	0	0.5	96.1666666667
4	1	0	0.6	112.666666667
4	1	0	0.7	140.166666667
4	1	0	0.8	195.083333333
4	1	0	0.9	195.083333333
4	1	0	1	195.083333333
4	1	1	0	63.1666666667
4	1	1	0.1	66.8333333333
4	1	1	0.2	71.4166666667
4	1	1	0.3	71.4166666667
4	1	1	0.4	71.4166666667
4	1	1	0.5	71.4166666667
4	1	1	0.6	71.4166666667
4	1	1	0.7	71.4166666667
4	1	1	0.8	71.4166666667
4	1	1	0.9	71.4166666667
4	1	1	1	71.4166666667
4	2	0	0	63.1666666667
4	2	0	0.1	66.8333333333
4	2	0	0.2	71.4166666667
4	2	0	0.3	77.3095238095
4	2	0	0.4	85.1666666667
4	2	0	0.5	96.1666666667
4	2	0	0.6	112.666666667
4	2	0	0.7	140.166666667
4	2	0	0.8	195.083333333
4	2	0	0.9	195.083333333
4	2	0	1	195.083333333
4	2	1	0	63.1666666667
4	2	1	0.1	66.8333333333
4	2	1	0.2	71.4166666667
4	2	1	0.3	71.4166666667
4	2	1	0.4	71.4166666667
4	2	1	0.5	71.4166666667
4	2	1	0.6	71.4166666667
4	2	1	0.7	71.4166666667
4	2	1	0.8	71.4166666667
4	2	1	0.9	71.4166666667
4	2	1	1	71.4166666667
4	3	0	0	63.1666666667
4	3	0	0.1	66.8333333333
4	3	0	0.2	71.4166666667
4	3	0	0.3	77.3095238095
4	3	0	0.4	85.1666666667
4	3	0	0.5	96.1666666667
4	3	0	0.6	112.666666667
4	3	0	0.7	140.166666667
4	3	0	0.8	195.083333333
4	3	0	0.9	195.083333333
4	3	0	1	195.083333333
4	3	1	0	63.1666666667
4	3	1	0.1	66.8333333333
4	3	1	0.2	71.4166666667
4	3	1	0.3	71.4166666667
4	3	1	0.4	71.4166666667
4	3	1	0.5	71.4166666667
4	3	1	0.6	71.4166666667
4	3	1	0.7	71.4166666667
4	3	1	0.8	71.4166666667
4	3	1	0.9	71.4166666667
4	3	1	1	71.4166666667
4	4	0	0	63.1666666667
4	4	0	0.1	66.8333333333
4	4	0	0.2	71.4166666667
4	4	0	0.3	77.3095238095
4	4	0	0.4	85.1666666667
4	4	0	0.5	96.1666666667
4	4	0	0.6	112.666666667
4	4	0	0.7	140.166666667
4	4	0	0.8	195.083333333
4	4	0	0.9	195.083333333
4	4	0	1	195.083333333
4	4	1	0	63.1666666667
4	4	1	0.1	66.8333333333
4	4	1	0.2	71.4166666667
4	4	1	0.3	71.4166666667
4	4	1	0.4	71.4166666667
4	4	1	0.5	71.4166666667
4	4	1	0.6	71.4166666667
4	4	1	0.7	71.4166666667
4	4	1	0.8	71.4166666667
4	4	1	0.9	71.4166666667
4	4	1	1	71.4166666667
4	5	0	0	63.1666666667
4	5	0	0.1	66.8333333333
4	5	0	0.2	71.4166666667
4	5	0	0.3	77.3095238095
4	5	0	0.4	85.1666666667
4	5	0	0.5	96.1666666667
4	5	0	0.6	112.666666667
4	5	0	0.7	140.166666667
4	5	0	0.8	195.083333333
4	5	0	0.9	195.083333333
4	5	0	1	195.083333333
4	5	1	0	63.1666666667
4	5	1	0.1	66.8333333333
4	5	1	0.2	71.4166666667
4	5	1	0.3	71.4166666667
4	5	1	0.4	71.4166666667
4	5	1	0.5	71.4166666667
4	5	1	0.6	71.4166666667
4	5	1	0.7	71.4166666667
4	5	1	0.8	71.4166666667
4	5	1	0.9	71.4166666667
4	5	1	1	71.4166666667
5	1	0	0	63.1666666667
5	1	0	0.1	66.8333333333
5	1	0	0.2	71.4166666667
5	1	0	0.3	77.3095238095
5	1	0	0.4	85.1666666667
5	1	0	0.5	96.1666666667
5	1	0	0.6	112.666666667
5	1	0	0.7	140.166666667
5	1	0	0.8	195.083333333
5	1	0	0.9	195.083333333
5	1	0	1	195.083333333
5	1	1	0	63.1666666667
5	1	1	0.1	66.8333333333
5	1	1	0.2	71.4166666667
5	1	1	0.3	71.4166666667
5	1	1	0.4	71.4166666667
5	1	1	0.5	71.4166666667
5	1	1	0.6	71.4166666667
5	1	1	0.7	71.4166666667
5	1	1	0.8	71.4166666667
